"","M","BS","V"
"ChrSy.fgenesh.gene.86",4.09349966401092,3.5740256687094,0.275835544467087
"LOC_Os01g01010",2.71609655957869,3.42358945165661,2.70875366500881
"LOC_Os01g01030",0.102917983411907,0.0309659941870974,1.87403970141295
"LOC_Os01g01040",3.79195075960743,4.00046920533856,4.78117499738859
"LOC_Os01g01050",3.17132127380236,2.11015045409474,1.71112268736863
"LOC_Os01g01060",2.21066200921414,3.66191788921727,4.03239097852967
"LOC_Os01g01070",2.54854257463106,2.76495957277262,2.61402450917327
"LOC_Os01g01080",3.50195936850279,2.43916802070387,3.46642404528081
"LOC_Os01g01090",1.62656191436086,1.50759545209335,0.139490996688452
"LOC_Os01g01120",6.12818224260745,4.26698133509218,0.744743998855691
"LOC_Os01g01130",2.51655719919546,1.89072732453389,2.83316800062119
"LOC_Os01g01150",5.07616765656287,4.27443007519971,4.85219170725148
"LOC_Os01g01160",6.26907775420057,5.78134989485854,3.36935467452402
"LOC_Os01g01170",1.95870948344754,0.0309659941870974,0.19306972382142
"LOC_Os01g01280",5.18898643706455,4.51320253467738,1.64663526594016
"LOC_Os01g01295",2.56811632034584,3.06929625274864,2.3901412103205
"LOC_Os01g01302",5.51764220406533,4.78780891826352,1.89374203809189
"LOC_Os01g01307",3.62370620173062,3.56382248372603,4.45045595438709
"LOC_Os01g01312",0.743952384946942,1.90255071882954,1.5912945432149
"LOC_Os01g01340",7.12677257779733,5.44364597918651,4.10724295440461
"LOC_Os01g01369",1.94060365330863,2.15120878120632,3.14053806387105
"LOC_Os01g01380",1.9781232001785,1.5556518878462,0.692643853904001
"LOC_Os01g01390",2.83775225207318,2.85211973601881,2.99664838408528
"LOC_Os01g01410",2.86528729442425,2.66437417524292,3.40660162902113
"LOC_Os01g01420",5.88713390897296,4.91993747890803,5.52654571083938
"LOC_Os01g01450",5.70793673366032,7.64362359343685,10.2090798875397
"LOC_Os01g01484",5.22710236199163,3.78382644468403,4.15265250402221
"LOC_Os01g01510",1.61010345320443,1.74496828368672,2.52500500386015
"LOC_Os01g01520",0.312846970331343,0.36366099615904,1.43406936556297
"LOC_Os01g01570",1.84750603957773,2.69884009249946,2.9824130466791
"LOC_Os01g01580",0.102917983411907,0.0309659941870974,0.926363121686226
"LOC_Os01g01610",1.79181799473145,0.906295710725563,1.10195223057441
"LOC_Os01g01620",3.0214128738844,4.5087168363106,3.01609487260295
"LOC_Os01g01640",3.42421312629679,3.75526417628343,4.66250536710463
"LOC_Os01g01660",1.22266028432722,1.70637142553218,0.820975961038827
"LOC_Os01g01670",2.34438773556605,2.5810498406695,4.23288052850041
"LOC_Os01g01680",0.642976269929681,2.08929233629905,3.81286607593701
"LOC_Os01g01689",2.08062868409705,2.05611720703467,3.12107986477367
"LOC_Os01g01700",5.12635981389965,4.91776428086915,5.09817144197456
"LOC_Os01g01710",7.4641552292633,6.9532496388396,4.61399921149827
"LOC_Os01g01720",2.57531644171694,1.65325592591747,1.70231435833627
"LOC_Os01g01740",1.33336884920321,0.0309659941870974,0.811187505560876
"LOC_Os01g01780",0.102917983411907,0.545493131981999,1.11079203448763
"LOC_Os01g01790",5.62751041984723,5.31662718737434,5.01224324083818
"LOC_Os01g01800",3.52870483074333,3.78562749342301,3.60688916338533
"LOC_Os01g01830",2.2987797470609,2.02201848761211,1.25440808100033
"LOC_Os01g01840",1.30341633948153,2.05508913178863,0
"LOC_Os01g01870",4.21367589101422,4.02968579199977,2.63294773932694
"LOC_Os01g01890",3.62982967071146,0.365347749548901,0.0186592157655518
"LOC_Os01g01920",2.68319448500795,1.22415232165193,1.5035110695131
"LOC_Os01g01960",5.42290253157524,4.88795577461432,5.47686528524922
"LOC_Os01g01970",2.21236119393701,2.84183212900813,2.98112214814482
"LOC_Os01g02000",0.565553082000884,0.0309659941870974,3.01579670824882
"LOC_Os01g02020",2.43839279866826,3.03515569388174,3.10489501732471
"LOC_Os01g02040",0.598431764058163,1.38847711050735,2.09304900154324
"LOC_Os01g02080",3.52604085918038,1.73903007006918,0.7204292945085
"LOC_Os01g02090",4.04820668876055,3.65103696269467,4.15457653409426
"LOC_Os01g02100",1.80285627680157,2.0459480178333,1.8678533406005
"LOC_Os01g02139",1.03384263040299,2.46756087855377,3.28465812411942
"LOC_Os01g02150",3.31053269736627,5.99489597034569,6.77602290264752
"LOC_Os01g02170",0.681704399995265,1.139803323856,1.68039675986254
"LOC_Os01g02180",3.23417495539218,2.90218967861863,2.32572591561714
"LOC_Os01g02200",4.58421157692117,4.61856487084113,5.41779690846647
"LOC_Os01g02270",1.72707795054078,1.90444113593897,0.59162053999115
"LOC_Os01g02320",1.4762157356877,0.978857055020503,1.4041757707634
"LOC_Os01g02370",0.94311435408772,0.433141041834056,1.57709546603889
"LOC_Os01g02390",2.12911281835498,1.40153432921739,1.14055694570024
"LOC_Os01g02400",2.09664810015385,2.46093598464874,2.43977882941423
"LOC_Os01g02700",3.82193949758043,0.58257016495931,0
"LOC_Os01g02710",3.80161711671005,1.80740683753504,0
"LOC_Os01g02720",3.4176841917704,3.12250774083002,3.05709264167029
"LOC_Os01g02870",1.19186484386848,2.75685979583567,0.182288561821985
"LOC_Os01g02880",1.22746662762017,1.78196978331398,4.20188958625616
"LOC_Os01g02884",4.72186704872977,3.94349020036286,3.91761624497053
"LOC_Os01g02900",0.482472892644308,3.49485689621333,1.01181549857965
"LOC_Os01g02960",3.6615612654306,4.73173357056145,3.56010380498003
"LOC_Os01g03020",4.29485805791447,4.62714819403247,5.07145130864566
"LOC_Os01g03030",2.86100055433819,2.27462334094358,2.87854576985829
"LOC_Os01g03040",6.5264240430637,5.83265233251471,3.6574599809976
"LOC_Os01g03050",2.55097400798756,1.33336884920321,2.33761648856838
"LOC_Os01g03060",4.23884893310957,3.34393594152476,4.25189595264273
"LOC_Os01g03070",4.5969656651991,6.0347116772078,6.79332220924773
"LOC_Os01g03090",3.62171677260736,3.06278361864784,2.95451575285471
"LOC_Os01g03100",0.57266463893918,2.4567459437058,4.96994421148782
"LOC_Os01g03110",1.84092137247815,1.4110955450163,2.5366254867823
"LOC_Os01g03144",4.20188958625616,4.82239702195936,3.16589320387176
"LOC_Os01g03160",2.4593415872858,2.61316212322448,2.02733697830942
"LOC_Os01g03180",3.03741165549325,3.36412059723735,0.73115851565314
"LOC_Os01g03310",5.18188355987194,3.77277789173439,0.198535432775914
"LOC_Os01g03320",1.14367964346111,0.894334449837727,0
"LOC_Os01g03340",3.83345429790726,1.22472730528497,0
"LOC_Os01g03390",0.960478638711565,1.79084632501482,0
"LOC_Os01g03500",2.95964541294672,2.60780033972372,2.05145920608275
"LOC_Os01g03510",1.63931801996117,3.10833689144284,3.3406619938326
"LOC_Os01g03520",4.35682415733785,3.98534871165017,4.30586592544927
"LOC_Os01g03549",4.29775227936654,4.97237577228506,4.08813073505132
"LOC_Os01g03570",2.68144439260329,4.77787585241689,5.67234903600145
"LOC_Os01g03650",4.13414872925923,3.04395275912828,2.76997043107129
"LOC_Os01g03750",2.46156983424438,1.84387643495412,1.9224392797675
"LOC_Os01g03760",3.22783486028862,4.3410879736244,3.97445648452582
"LOC_Os01g03810",0.102917983411907,0.726517523885251,1.4857393772374
"LOC_Os01g03820",3.30278340994241,2.22696760165129,2.50024620252765
"LOC_Os01g03914",2.0459480178333,3.22034537501936,3.77203267803142
"LOC_Os01g03940",5.4029882583348,4.20002121370375,3.26827489629057
"LOC_Os01g03950",1.62213047177662,1.9545914492236,0
"LOC_Os01g03980",2.88509494490288,2.01389750392516,1.40073569458138
"LOC_Os01g04020",5.84845481316102,6.75671909114994,6.80206127325822
"LOC_Os01g04030",0.950887437849396,1.72206884977906,1.62757202315935
"LOC_Os01g04050",0.631934448954213,2.14987354010897,3.72516331213214
"LOC_Os01g04100",2.25608133504741,0.0309659941870974,1.78156136196749
"LOC_Os01g04110",1.88944164453509,2.20177069639573,2.38792592382479
"LOC_Os01g04120",1.25104644555379,0.722490797809598,0
"LOC_Os01g04190",2.60119814208157,3.2314297279697,3.05130869309742
"LOC_Os01g04200",2.48548951863636,3.61763149550715,2.93732307802558
"LOC_Os01g04260",3.5818740199164,2.74693796004777,3.26985167357877
"LOC_Os01g04280",0.102917983411907,1.34368077617127,0.751059849999514
"LOC_Os01g04330",0.856570059404298,3.59241435080362,1.30610247267833
"LOC_Os01g04350",3.03800265831002,6.41859374651087,3.71879388579223
"LOC_Os01g04380",0.102917983411907,1.35714937318531,1.64832025350792
"LOC_Os01g04409",2.23359907818671,1.04926600552221,1.81547195686712
"LOC_Os01g04540",4.18638605978312,4.01059833892594,3.58069272215252
"LOC_Os01g04600",1.62588091405814,0.859664085819651,1.36597694271338
"LOC_Os01g04630",5.32684197600861,3.4640896049929,2.63624340096833
"LOC_Os01g04640",0.464213467605301,1.25454117549432,5.28863274110284
"LOC_Os01g04650",3.243362254794,2.71379970273959,3.79520757168114
"LOC_Os01g04670",0.365589869118565,0.568309061036328,4.0316057401001
"LOC_Os01g04710",0.801092529330648,0.0309659941870974,0.891381660732308
"LOC_Os01g04720",0.312846970331343,0.0309659941870974,1.1168945902906
"LOC_Os01g04814",4.34652259998791,4.3966800619275,4.94095949563678
"LOC_Os01g04860",3.87731181664008,2.38295382678568,1.06645734796399
"LOC_Os01g04870",2.09515207616374,2.3538775494262,2.61760760873421
"LOC_Os01g04880",1.12883433222677,2.77268715345255,2.10751110323828
"LOC_Os01g04900",5.42625643010402,4.92526086312699,1.95572603410119
"LOC_Os01g04910",1.75579743104385,1.23602610473174,1.26977325070274
"LOC_Os01g04920",4.67021400221536,5.71575137045399,5.45114053511344
"LOC_Os01g04930",3.30046830688739,4.39598099225362,5.84155942206516
"LOC_Os01g04950",3.94819095891698,4.29590027390813,4.14511330820361
"LOC_Os01g04990",2.29988680531472,1.91690457412484,2.34718719649043
"LOC_Os01g05010",1.43827324286016,1.6247399461489,1.99867822265916
